nflId,displayName,position
54527,Bryan Cook,FS
46137,Justin Reid,SS
52546,L'Jarius Sneed,CB
53487,Nick Bolton,MLB
54486,Trent McDuffie,CB
53541,Amon-Ra St. Brown,WR
53959,Brock Wright,TE
43290,Jared Goff,QB
44930,Josh Reynolds,WR
44888,Alex Anzalone,OLB
55910,Brian Branch,SS
47888,C.J. Gardner-Johnson,SS
44906,Cameron Sutton,CB
53953,Jerry Jacobs,CB
54562,Kerby Joseph,FS
54653,Malcolm Rodriguez,ILB
46213,Justin Watson,WR
46243,Marquez Valdes-Scantling,WR
53591,Noah Gray,TE
54519,Skyy Moore,WR
44822,Patrick Mahomes,QB
41325,Jerick McKinnon,RB
53542,Derrick Barnes,MLB
52440,Clyde Edwards-Helaire,RB
46309,Richie James,WR
54495,George Karlaftis,DE
47882,Mike Edwards,FS
43584,Kalif Raymond,WR
55899,Sam LaPorta,TE
38696,Marvin Jones,WR
54600,Joshua Williams,CB
55984,Chamarri Conner,SS
52471,Willie Gay Jr.,ILB
47856,David Montgomery,RB
55876,Jahmyr Gibbs,RB
54568,Leo Chenal,OLB
46424,Jason Cabinda,FB
55882,Jack Campbell,MLB
54716,Isiah Pacheco,RB
55920,Rashee Rice,WR
42460,Blake Bell,TE
53449,Kadarius Toney,WR
44834,Charles Harris,DE
52585,Michael Danna,DE
54511,Joshua Paschal,DE
47913,Drue Tranquill,ILB
54885,Justyn Ross,WR
55895,Felix Anudike-Uzomah,DE
54682,James Houston,DE
53724,Matt Bushman,TE
47864,Will Harris,SS
52424,A.J. Terrell,CB
52272,Dee Alford,CB
46123,Jessie Bates,SS
48027,Kaden Elliss,ILB
53469,Richie Grant,SS
46215,Tre Flowers,CB
40488,Adam Thielen,WR
46094,Hayden Hurst,TE
55904,Jonathan Mingo,WR
52450,Laviska Shenault Jr.,WR
55865,Bryce Young,QB
53488,Terrace Marshall Jr.,WR
54523,Troy Andersen,ILB
47836,Miles Sanders,RB
53555,Chuba Hubbard,RB
53512,Tommy Tremble,TE
46124,Donte Jackson,CB
53437,Jaycee Horn,CB
52472,Jeremy Chinn,SS
42368,Shaq Thompson,MLB
43350,Vonn Bell,SS
45004,Xavier Woods,FS
55872,Bijan Robinson,RB
53433,Kyle Pitts,TE
44931,Mack Hollins,WR
54539,Desmond Ridder,QB
54473,Drake London,WR
46527,Frankie Luvu,OLB
42816,Troy Hill,CB
47991,Scott Miller,WR
54616,Tyler Allgeier,RB
52417,C.J. Henderson,CB
44912,Jonnu Smith,TE
52858,Giovanni Ricci,TE
54503,Arnold Ebiketie,OLB
46170,Ian Thomas,TE
37145,Justin Houston,OLB
52542,Jaylinn Hawkins,FS
54540,Christian Harris,OLB
42391,Denzel Perryman,ILB
54468,Derek Stingley Jr.,CB
43395,Eric Murray,SS
54502,Jalen Pitre,FS
42441,Steven Nelson,CB
46672,Tavierre Thomas,FS
52463,J.K. Dobbins,RB
42363,Nelson Agholor,WR
41238,Odell Beckham,WR
55886,Zay Flowers,WR
46101,Lamar Jackson,QB
54604,Isaiah Likely,TE
