route_of_targeted_receiver,dacs_final,expected_points_added,count
GO,0.9006024096385542,0.38530714154602536,996
SCREEN,0.9738095238095238,-0.11215886565900984,210
CORNER,1.163265306122449,0.564202247616501,343
OUT,1.4075520833333333,0.15657801823787545,1536
FLAT,1.7397617274758004,-0.004195175045532224,1343
ANGLE,2.6321989528795813,0.01033070144311803,382
CROSS,4.072380952380953,0.25671065309971924,1050
WHEEL,4.1,0.36940169632434844,50
HITCH,4.545849158979924,0.17156783376966425,1843
POST,4.685288640595903,0.5732578377046899,537
IN,5.180904522613066,0.14950638017078965,796
SLANT,5.868627450980392,0.29646403086280415,765
